cluster_id,size,et_count,fi_count,unknown_count,category,kr_estonian_suspect,char_unigram_jaccard,word_jaccard,et_example_poem,fi_example_poem
14,114,113,1,0,form_based,False,0.8571,0.2727,E 16860/1 (8),JR 03636
40,92,90,2,0,form_based,False,0.7857,0.1333,E 57015/7,JR 26513
42,90,88,2,0,form_based,False,0.6471,0.1333,"EÜS III 399/400, 261 (76)",JR 85143
43,89,88,1,0,form_based,False,0.5789,0.2308,"AES, MT 3, 10 (33)",JR 35347
200,61,36,25,0,form_based,False,0.6429,0.1111,"H II 28, 450/1 (4)",SKVR IV1 894.
244,59,58,1,0,form_based,False,0.6429,0.0526,E 52300,JR 26519
350,56,53,3,0,form_based,False,0.5,0.1429,"H II 40, 680 (8)",SKVR VII2 2445.
364,56,55,1,0,form_based,True,0.8125,0.2308,EÜS VIII 1168/9 (35),KR 50:19
496,50,3,47,0,form_based,False,0.9286,0.2,"H II 51, 718/9 (8)",JR 37283
707,41,40,1,0,form_based,False,0.7692,0.1818,"AES, MT 141, 15/16",SKVR IV1 991.
1130,37,36,1,0,meaning_based,False,0.4,0.375,E 70593 (45),JR 72033
1176,36,31,5,0,form_based,False,0.8235,0.1765,"E, StK 18, 41/4 (26)",SKVR IV1 1435.
1198,36,35,1,0,form_based,True,0.6111,0.1875,EÜS VI 1751/3 (248),KR 50:23
1216,36,1,35,0,form_based,False,0.5333,0.1538,"ERA II 176, 370 (7)",SKVR VII1 551.
1316,36,3,33,0,form_based,False,0.625,0.1111,"H, Peet 237/8 (237)",JR 63239
1364,35,1,34,0,form_based,False,0.6667,0.1333,"AES, MT 275, 1",JR 21072
1403,35,34,1,0,form_based,False,0.6429,0.1429,"E, StK 22, 26/9 (24)",SKVR III2 1711.
1466,35,1,34,0,form_based,False,0.5,0.0625,"E, StK 2, 112 (133)",SKVR V2 1619 a.
1657,34,1,33,0,form_based,False,0.4706,0.1818,"H II 56, 1064 (6)",SKVR VII3 4305.
1825,34,33,1,0,form_based,False,0.8,0.2,"AES, MT 76, 16/7 (9)",SKVR III2 1924.
1830,34,2,32,0,form_based,False,0.5333,0.2,"H II 7, 222/4 (98)",SKVR XV 11.
1889,34,3,31,0,form_based,False,0.7333,0.25,E 52588 (2),JR 21067
2058,33,1,32,0,form_based,False,0.6923,0.1333,"ERA II 263, 132/3 (15)",JR 71991
